Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2021†","Rabies, Animal, Cum 2021†, flag","Rabies, Animal, Cum 2020†","Rabies, Animal, Cum 2020†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2021†","Rabies, Human, Cum 2021†, flag","Rabies, Human, Cum 2020†","Rabies, Human, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
DELAWARE,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20210529,POINT (-75.452394 38.994926)
ALABAMA,2021,5,,-,4,,,-,1,,,-,0,,,-,,-,ALABAMA,,20210539,POINT (-86.844516 32.756889)
KANSAS,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20210522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,5,,-,11,,5,,27,,,-,0,,,-,,-,NORTH CAROLINA,,20210534,POINT (-79.130883 35.52603)
GUAM,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20210566,POINT (144.653198 13.3532)
NEW JERSEY,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20210510,POINT (-74.655514 40.110253)
NEW MEXICO,2021,5,,-,2,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20210554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,5,,-,14,,1,,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL,20210514,
TENNESSEE,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20210542,POINT (-86.343226 35.842998)
CONNECTICUT,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,20210503,POINT (-72.738288 41.575155)
MARYLAND,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,20210533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,5,,N,,NC,,N,,N,,-,0,,,-,,-,SOUTH CAROLINA,,20210535,POINT (-80.864614 33.878572)
OKLAHOMA,2021,5,,-,2,,1,,,-,,-,0,,,-,,-,OKLAHOMA,,20210546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20210565,POINT (145.725693 15.1834)
TOTAL,2021,6,7,,61,,52,,204,,,-,0,,,-,,-,,TOTAL,20210670,
OHIO,2021,5,,-,3,,1,,,-,,-,0,,,-,,-,OHIO,,20210518,POINT (-82.70936 40.415534)
MINNESOTA,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20210523,POINT (-94.198308 46.349153)
LOUISIANA,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20210545,POINT (-91.840238 30.921314)
HAWAII,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20210560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,5,1,,12,,11,,104,,,-,0,,,-,,-,,SOUTH ATLANTIC,20210528,
PENNSYLVANIA,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20210513,POINT (-77.838886 40.896694)
UTAH,2021,5,,-,3,,,-,,-,,-,0,,,-,,-,UTAH,,20210555,POINT (-111.678222 39.323779)
COLORADO,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20210550,POINT (-105.547832 38.998552)
VERMONT,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20210508,POINT (-72.662695 44.075252)
KENTUCKY,2021,5,,-,5,,,-,1,,,-,0,,,-,,-,KENTUCKY,,20210540,POINT (-85.290484 37.526683)
PUERTO RICO,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20210567,POINT (-66.414655 18.215692)
MAINE,2021,5,2,,6,,5,,8,,,-,0,,,-,,-,MAINE,,20210504,POINT (-69.06137 45.117911)
VIRGINIA,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20210536,POINT (-78.666382 37.510861)
ARIZONA,2021,5,,N,,NC,,N,,N,,-,0,,,-,,-,ARIZONA,,20210549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20210564,
WISCONSIN,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20210519,POINT (-89.732969 44.639954)
IDAHO,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,20210551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20210568,POINT (-64.840836 18.060868)
MICHIGAN,2021,5,,-,6,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20210517,POINT (-85.730977 44.874798)
GEORGIA,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20210532,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,5,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20210512,
ARKANSAS,2021,5,,-,3,,1,,4,,,-,0,,,-,,-,ARKANSAS,,20210544,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,5,,-,1,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20210541,POINT (-89.65344 32.713378)
